filename,text
sample-0.wav,without the dataset the article is useless
sample-1.wav,i've got to go to him
sample-2.wav,and you know it
sample-3.wav,down below in the darkness were hundreds of people sleeping in peace
sample-4.wav,hold your nose to keep the smell from disabling your motor functions
sample-5.wav,down below in the darkness were hundreds of people sleeping in peace
sample-6.wav,strange images passed through my mind
sample-7.wav,the sheep had taught him that
sample-8.wav,this was the strangest of all things that ever came to earth from outer space
sample-9.wav,it was glaringly hot not a cloud in the sky nor a breath of wind
sample-10.wav,your son went to serve at a distant place and became a centurion
sample-11.wav,they made the boy continue digging but he found nothing
sample-12.wav,one can imagine these two covered with sand running up the little street in the bright sunlight
sample-13.wav,the shower's in there
sample-14.wav,follow the instructions here
sample-15.wav,they're calling to us not to give up and to keep on fighting
sample-16.wav,the shop is closed on mondays
sample-17.wav,even coming down on the train together she wrote me
sample-18.wav,i'm going away he said
sample-19.wav,it must have fallen while i was sitting over there
sample-20.wav,i'm going into the desert the man answered turning back to his reading
sample-21.wav,he wasn't asking for help
sample-22.wav,some of the grey ash was falling off the circular edge
sample-23.wav,everyone when they are young knows what their destiny is
sample-24.wav,i'd like to think
sample-25.wav,the alchemist probably already knew all that
sample-26.wav,you'll take fifty and like it
sample-27.wav,it was dropping off in flakes and raining down on the sand
sample-28.wav,what's your name he asked
sample-29.wav,it's because you were not born
sample-30.wav,what do you think of that
sample-31.wav,if i had told you you wouldn't have seen the pyramids
sample-32.wav,i haven't heard the baby complain yet
sample-33.wav,i told him we could teach her to ignore people who waste her time
sample-34.wav,the one you're blocking
sample-35.wav,henderson stood up with a spade in his hand
sample-36.wav,he didn't need to seek out the old woman for this
sample-37.wav,only a minority of literature is written this way
sample-38.wav,i wish you wouldn't
sample-39.wav,nature knows me as the wisest being in creation the sun said
sample-40.wav,there is only one way to learn the alchemist answered
sample-41.wav,don't do it for me
sample-42.wav,i'm not working for any other paper
sample-43.wav,that's not so bad
sample-44.wav,i have the diet of a kid who found twenty dollars
sample-45.wav,i have the money i need to buy my sheep
sample-46.wav,the boy looked out at the horizon
sample-47.wav,never mind about that
sample-48.wav,that night there was another jetting out of gas from the distant planet
sample-49.wav,most of them were staring quietly at the big table
sample-50.wav,i make my living forecasting the future for people he said
sample-51.wav,now i will drift gently off to dreamland
sample-52.wav,he did find it soon after dawn and not far from the sand pits
sample-53.wav,of course the two were unable to do anything
sample-54.wav,all they think about is food and water
sample-55.wav,shakespeare never said that
sample-56.wav,you need to see this
sample-57.wav,the boy knew a lot of people in the city
sample-58.wav,frank was dying so they were forced to leave him
sample-59.wav,this is no place for you
sample-60.wav,the boy reminded the old man that he had said something about hidden treasure
sample-61.wav,don't point the gun at me
sample-62.wav,he's the man the ads are written for
sample-63.wav,there was no excuse for goodman to fly off the handle
sample-64.wav,that day the merchant gave the boy permission to build the display
sample-65.wav,i told you to have the ice box fixed
sample-66.wav,it's late in the evening a perfect time for coffee
sample-67.wav,i'm coming fatima he said
sample-68.wav,don't do it for me
sample-69.wav,i'm sure i don't know what you're talking about
sample-70.wav,he felt invisible among all those young people
sample-71.wav,he thought of all the married shepherds he had known
sample-72.wav,you mean spies and things like that
sample-73.wav,but finally the merchant appeared and asked the boy to shear four sheep
sample-74.wav,i just got rid of one crowd
sample-75.wav,every search begins with beginner's luck
sample-76.wav,you can't be the wind the wind said
sample-77.wav,he had surprised himself with the thought
sample-78.wav,he was going to miss the place and all the good things he had learned
sample-79.wav,an huge hole had been made by the impact of the projectile
sample-80.wav,most meteorites are more or less rounded
sample-81.wav,it's candice now on long distance from washington
sample-82.wav,he could always go back to being a shepherd
sample-83.wav,the boy went to his room and packed his belongings
sample-84.wav,do you know what
sample-85.wav,they went in to drink the tea which was served in beautiful crystal glasses
sample-86.wav,this is for you
sample-87.wav,they were men of the desert and they were fearful of sorcerers
sample-88.wav,their faces were hidden behind blue veils with only their eyes showing
sample-89.wav,it seemed so safe and tranquil
sample-90.wav,aren't you going to tell me
sample-91.wav,that's true the boy thought
sample-92.wav,we're refugees from the tribal wars and we need money the other figure said
sample-93.wav,during one of these conversations the driver told of his own life
sample-94.wav,isn't the party also to announce his engagement to joanna
sample-95.wav,he remembered something his grandfather had once told him that butterflies were a good omen
sample-96.wav,i heard a faint movement under my feet
sample-97.wav,he stood irresolute for a moment and then scrambled out of the pit
sample-98.wav,even then he hardly understood what this meant
sample-99.wav,it looked like a rusty gas float
sample-1.wav,it knew of the boy's talk with the desert because the winds know everything
sample-101.wav,all they think about is food and water
sample-102.wav,after the dictator's rule of fourty three years was over the country was devastated
sample-103.wav,only when he consents
sample-104.wav,the camel driver was seated at the base of a palm tree observing the sunset
sample-105.wav,all they ever do really is look for food and water
sample-106.wav,sure you don't want me to go in with you
sample-107.wav,i want it as soon as possible
sample-108.wav,it looked like a rusty gas float
sample-109.wav,some storms are worth the wreckage
sample-110.wav,it was as if it quivered but really this was the telescope vibrating
sample-111.wav,modern sewing machines can throttle their speed
sample-112.wav,it's as much my fault as yours
sample-113.wav,image registration could be easily incorporated into lowpower embedded devices
sample-114.wav,the merchants were assembling their stalls and the boy helped a candy seller to do his
sample-115.wav,you don't deny that
sample-116.wav,they made the boy continue digging but he found nothing
sample-117.wav,then he sat in the sunfilled doorway smoking the hookah
sample-118.wav,about eleven i walked back to my home in maybury because nothing seemed to be happening
sample-119.wav,it said that the darkest hour of the night came just before the dawn
sample-120.wav,all things are one the boy thought
sample-121.wav,i can't let you have my plane
sample-122.wav,if what one finds is made of pure matter it will never spoil
sample-123.wav,he put his headcloth in place and secured it with a ring made of camel skin
sample-124.wav,my seven year resume gap is marked not drugs
sample-125.wav,the englishman asked if they were in danger
sample-126.wav,sun is better than rain
sample-127.wav,the boy was strong and wanted to retaliate but he was in a foreign country
sample-128.wav,yet it was a little too large for assurance
sample-129.wav,it's the master work of the alchemists
sample-130.wav,they went on smoking the pipe for a while as the sun began to set
sample-131.wav,he heard a muffled grating sound and saw the black mark jerk forward an inch or so
sample-132.wav,from here on you will be alone the alchemist said
sample-133.wav,the burning fire had been extinguished
sample-134.wav,in those days very few of the people had any idea about astronomy
sample-135.wav,sometimes i get so mad at you i can't see straight
sample-136.wav,on our way to san francisco we were listening to reggae music and smoking weed
sample-137.wav,work for somebody else
sample-138.wav,many of our soldiers teamed up
sample-139.wav,am i going to find my treasure he asked
sample-140.wav,helium makes your voice high pitched
sample-141.wav,it was faintly marked with transverse stripes and slightly flattened from the perfect round
sample-142.wav,the boy closed his book
sample-143.wav,you mean the one who drank so much
sample-144.wav,this is no place for you
sample-145.wav,mrs sarah doesn't either
sample-146.wav,his expression reminded me of a horse chewing hay
sample-147.wav,about eleven i walked back to my home in maybury because nothing seemed to be happening
sample-148.wav,naturally we have to do something about it
sample-149.wav,make sure you've read my introductory post on voice coding since we will be building upon that
sample-150.wav,he told fatima that at their next meeting
sample-151.wav,everyone seemed very excited
sample-152.wav,maybe the water was too hot
sample-153.wav,a line of flame high can be seen in the atmosphere
